129;Лабиринт фавна;2006;Гильермо дель Торо;фэнтези, драма, таинственный фильм
130;Мой сосед Тоторо;1988;Хаяо Миядзаки;мультфильм, приключение, семейный фильм
131;Ран;1985;Акира Куросава;боевик, драма, военный фильм
132;Золотая лихорадка;1925;Чарли Чаплин;комедия, приключение, семейный фильм
133;Головоломка;2015;Пит Доктер;мультфильм, комедия, драма
134;Пожары;2010;Дени Вильнёв;драма
135;Тайна в его глазах;2009;Хуан Хосе Кампанелья;драма, таинственный фильм, мелодрама
136;В порту;1954;Элиа Казан;детектив, драма
137;Нюрнбергский процесс;1961;Стэнли Крамер;драма, исторический фильм, военный фильм
138;Мост через реку Квай;1957;Дэвид Лин;приключение, драма, военный фильм
139;Ходячий замок;2004;Хаяо Миядзаки;аниме, приключение, боевик
140;Комната;2015;Ленни Абрахамсон;драма
141;Бегущий по лезвию;1982;Ридли Скотт;научная фантастика, триллер, драма
142;Седьмая печать;1957;Ингмар Бергман;драма, фэнтези
143;Мистер Смит едет в Вашингтон;1939;Фрэнк Капра;драма
144;Карты, деньги, два ствола;1998;Гай Ричи;детектив, триллер
145;Казино;1995;Мартин Скорсезе;биография, детектив, драма
146;Игры разума;2001;Рон Ховард;драма, биография
147;Человек-слон;1980;Дэвид Линч;биография, драма, исторический фильм
148;Земляничная поляна;1957;Ингмар Бергман;драма
149;V — значит вендетта;2006;Джеймс Мактиг;боевик, научная фантастика, триллер
150;Волк с Уолл-стрит;2013;Мартин Скорсезе;биография, комедия, детектив
151;Генерал;1927;Клайд Брукман, Бастер Китон;комедия, мелодрама
152;Воин;2011;Гэвин О’Коннор;боевик, драма
153;На игле;1996;Дэнни Бойл;детектив, драма
154;В случае убийства набирайте «М»;1954;Альфред Хичкок;детектив, триллер, таинственный фильм
155;Андрей Рублёв;1966;Андрей Тарковский;биография, драма, исторический фильм
156;Гран Торино;2008;Клинт Иствуд;драма
157;Восход солнца;1927;Фридрих Вильгельм Мурнау;комедия, драма, романтическая комедия
158;Ла-Ла Ленд;2016;Дэмьен Шазелл;комедия, драма, музыкальный фильм
159;Унесённые ветром;1939;Виктор Флеминг;драма, мелодрама, военный фильм
160;Бандит;1996;Явуз Тургул;детектив, драма, триллер
161;Охотник на оленей;1978;Майкл Чимино;драма, военный фильм
162;Фарго;1996;Братья Коэн;детектив, триллер, драма
163;Шестое чувство;1999;М. Найт Шьямалан;драма, таинственный фильм, триллер
164;Нечто;1982;Джон Карпентер;научная фантастика, фильм ужасов, таинственный фильм
165;Большой Лебовски;1998;Братья Коэн;комедия, детектив, таинственный фильм
166;Старикам тут не место;2007;Братья Коэн;детектив, драма, таинственный фильм
167;В поисках Немо;2003;Эндрю Стэнтон;мультфильм, приключение, комедия
168;Токийская повесть;1953;Ясудзиро Одзу;драма
169;По соображениям совести;2016;Мел Гибсон;биография, драма, исторический фильм
170;Хладнокровный Люк;1967;Стюарт Розенберг;детектив, драма
171;Нефть;2007;Пол Томас Андерсон;драма
172;Ребекка;1940;Альфред Хичкок;таинственный фильм, мелодрама, триллер
173;Цвет шафрана;2006;Ракеш Омпракаш Мехра;драма, исторический фильм
174;Иди и смотри;1985;Элем Климов;драма, военный фильм
175;Страсти Жанны д’Арк;1928;Карл Теодор Дрейер;биография, драма, исторический фильм
176;Убить Билла. Фильм 1;2003;Квентин Тарантино;боевик, триллер, детектив
177;Логан;2017;Джеймс Мэнголд;боевик, драма, научная фантастика
178;Как приручить дракона;2010;Крис Сандерс, Дин Деблуа;мультфильм, приключение
179;Мэри и Макс;2009;Адам Эллиот;приключение, комедия, драма
180;Исчезнувшая;2014;Дэвид Финчер;драма, таинственный фильм, триллер
181;В диких условиях;2007;Шон Пенн;приключение, биография, драма
182;Остров проклятых;2010;Мартин Скорсезе;драма, триллер, таинственный фильм
183;Среда;2008;Нирадж Пандеу;детектив, драма, таинственный фильм
184;Это случилось однажды ночью;1934;Фрэнк Капра;комедия, мелодрама
185;Житие Брайана по Монти Пайтону;1979;Терри Джонс;комедия
186;Дикие истории;2014;Шифрон, Дамиан;комедия, драма, триллер
187;Взвод;1986;Оливер Стоун;боевик, драма, военный фильм
188;Отель Руанда;2004;Терри Джордж;биография, драма, исторический фильм
189;Плата за страх;1953;Анри-Жорж Клузо;приключение, драма, триллер
190;Телесеть;1975;Сидни Люмет;драма
191;Гонка;2013;Рон Ховард;фильм-биография, драма, спортивный фильм
192;Во имя отца;1993;Джим Шеридан;биография, драма, триллер
193;Останься со мной;1986;Роб Райнер;приключение, драма
194;Персона;1966;Ингмар Бергман;драма, фэнтези
195;Четыреста ударов;1959;Франсуа Трюффо;детектив, драма
196;Отель «Гранд Будапешт»;2014;Уэс Андерсон;комедия
197;Бен-Гур;1959;Уильям Уайлер;боевик, приключение, драма
198;12 лет рабства;2013;Стив Маккуин;биография, драма, исторический фильм
199;Безумный Макс: Дорога ярости;2015;Джордж Миллер;боевик, приключение, научная фантастика
200;Воспоминания об убийстве;2003;Пон Чжун Хо;драма, таинственный фильм
201;В центре внимания;2015;Томас Маккарти;биография, драма, исторический фильм
202;Малышка на миллион;2004;Клинт Иствуд;драма, спортивный фильм
203;Парк юрского периода;1993;Стивен Спилберг;приключение, научная фантастика
204;Бутч Кэссиди и Санденс Кид;1969;Джордж Рой Хилл;приключение, детектив
205;Сука любовь;2000;Алехандро Гонсалес Иньярриту;драма, триллер
206;Сталкер;1979;Андрей Тарковский;драма, научная фантастика
207;Шоу Трумана;1998;Питер Уир;комедия, драма
208;Мальтийский сокол;1941;Джон Хьюстон;детектив, нуар, таинственный фильм
209;Бумажная луна;1973;Питер Богданович;комедия, детектив, драма
210;Хатико: Самый верный друг;2009;Лассе Халльстрём;драма, семейный фильм
211;Ночи Кабирии;1957;Федерико Феллини;драма
212;Навсикая из Долины ветров;1984;Хаяо Миядзаки;драма, приключения, постапокалиптика
213;Принцесса-невеста;1987;Роб Райнер;приключение, комедия, семейный фильм
214;Перед рассветом;1995;Ричард Линклейтер;драма, мелодрама
215;Братан Мунна: Продавец счастья;2003;Раджкумар Хирани;комедия, детектив
216;Гарри Поттер и Дары Смерти. Часть 2;2011;Дэвид Йейтс;фэнтези, приключение, боевик
217;Пленницы;2013;Дени Вильнёв;детектив, драма, триллер
218;Гроздья гнева;1940;Джон Форд;драма
219;Рокки;1976;Джон Эвилдсен;спортивный фильм, драма, мелодрама
220;Поймай меня, если сможешь;2002;Стивен Спилберг;биография, детектив, драма
221;Печать зла;1958;Орсон Уэллс;детектив, нуар, триллер
222;Дьяволицы;1954;Анри-Жорж Клузо;детектив, драма, фильм ужасов
223;Звёздные войны: Пробуждение силы;2015;Джеффри Джейкоб Абрамс;боевик, приключение, фэнтези
224;Ганди;1982;Ричард Аттенборо;биография, драма, исторический фильм
225;Донни Дарко;2001;Ричард Келли;научная фантастика, таинственный фильм, драма
226;Корпорация монстров;2001;Пит Доктер, Дэвид Сильверман;мультфильм, комедия
227;Энни Холл;1977;Вуди Аллен;комедия, драма, мелодрама
228;Месть и закон;1975;Рамеш Сиппи;боевик, приключение, комедия
229;Терминатор;1984;Джеймс Кэмерон;научная фантастика, боевик
